table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,en,Nakachyo2-chyome,,,中町二丁目（ムーバス）
stops,stop_name,ja-Hrkt,なかちょうにちょうめ（むーばす）、中町２丁目、中町2丁目,,,中町二丁目（ムーバス）
stops,stop_name,ja,中町六丁目,,,中町六丁目
stops,stop_name,en,Nakamachi 6-chome,,,中町六丁目
stops,stop_name,ja-Hrkt,なかまちろくちょうめ、中町６丁目、中町6丁目,,,中町六丁目
stops,stop_name,ja,中町新道（ムーバス）,,,中町新道（ムーバス）
stops,stop_name,en,Nakachyo Sindo,,,中町新道（ムーバス）
stops,stop_name,ja-Hrkt,なかちょうしんどう（むーばす）,,,中町新道（ムーバス）
stops,stop_name,ja,中給田,,,中給田
stops,stop_name,en,Nakakyuden,,,中給田
stops,stop_name,ja-Hrkt,なかきゅうでん,,,中給田
stops,stop_name,ja,中野一丁目,,,中野一丁目
stops,stop_name,en,Nakano 1-chome,,,中野一丁目
stops,stop_name,ja-Hrkt,なかのいっちょうめ、中野１丁目、中野1丁目,,,中野一丁目
stops,stop_name,ja,中野三丁目,,,中野三丁目
stops,stop_name,en,Nakano 3-chome,,,中野三丁目
stops,stop_name,ja-Hrkt,なかのさんちょうめ、中野３丁目、中野3丁目,,,中野三丁目
stops,stop_name,ja,中野五丁目,,,中野五丁目
stops,stop_name,en,Nakano 5-chome,,,中野五丁目
stops,stop_name,ja-Hrkt,なかのごちょうめ、中野５丁目、中野5丁目,,,中野五丁目
stops,stop_name,ja,中野保健所,,,中野保健所
stops,stop_name,en,Nakano Hokenjo,,,中野保健所
stops,stop_name,ja-Hrkt,なかのほけんじょ,,,中野保健所
stops,stop_name,ja,中野六丁目,,,中野六丁目
stops,stop_name,en,Nakano 6chome,,,中野六丁目
stops,stop_name,ja-Hrkt,なかのろくちょうめ、中野６丁目、中野6丁目,,,中野六丁目
stops,stop_name,ja,中野北郵便局,,,中野北郵便局
stops,stop_name,en,Nakano Kita Yubinkyoku,,,中野北郵便局
stops,stop_name,ja-Hrkt,なかのきたゆうびんきょく,,,中野北郵便局
stops,stop_name,ja,中野区役所,,,中野区役所
stops,stop_name,en,Nakano　Kuyakusyo,,,中野区役所
stops,stop_name,ja-Hrkt,なかのくやくしょ,,,中野区役所
stops,stop_name,ja,中野区役所入口,,,中野区役所入口
stops,stop_name,en,Nakano Kuyakusho Iriguchi,,,中野区役所入口
stops,stop_name,ja-Hrkt,なかのくやくしょいりぐち,,,中野区役所入口
stops,stop_name,ja,中野四季の森公園,,,中野四季の森公園
stops,stop_name,en,Nakano Shikinomori Koen,,,中野四季の森公園
stops,stop_name,ja-Hrkt,なかのしきのもりこうえん,,,中野四季の森公園
stops,stop_name,ja,中野坂上駅,,,中野坂上駅
stops,stop_name,en,Nakano-sakaue Station,,,中野坂上駅
stops,stop_name,ja-Hrkt,なかのさかうええき,,,中野坂上駅
stops,stop_name,ja,中野工科高校,,,中野工科高校
stops,stop_name,en,Nakano Koka Koko,,,中野工科高校
stops,stop_name,ja-Hrkt,なかのこうかこうこう,,,中野工科高校
stops,stop_name,ja,中野総合病院,,,中野総合病院
stops,stop_name,en,Nakanao sogo hospital,,,中野総合病院
stops,stop_name,ja-Hrkt,なかのそうごうびょういん,,,中野総合病院
stops,stop_name,ja,中野駅,,,中野駅
stops,stop_name,en,Nakano Station,,,中野駅
stops,stop_name,ja-Hrkt,なかのえき,,,中野駅
stops,stop_name,ja,中野駅入口,,,中野駅入口
stops,stop_name,en,Nakano Eki　Iriguchi,,,中野駅入口
stops,stop_name,ja-Hrkt,なかのえきいりぐち,,,中野駅入口
stops,stop_name,ja,丸山営業所,,,丸山営業所
stops,stop_name,en,Maruyama Eigyosho,,,丸山営業所
stops,stop_name,ja-Hrkt,まるやまえいぎょうしょ,,,丸山営業所
stops,stop_name,ja,久保公園・とらいふ武蔵野（ムーバス）,,,久保公園・とらいふ武蔵野（ムーバス）
stops,stop_name,en,Kubo Koen・Toraibu Musashino,,,久保公園・とらいふ武蔵野（ムーバス）
