table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ko,가미가와라,,,上河原
stops,stop_name,ja-Hrkt,かみがわら,,,上河原
stops,stop_name,ja,上野川,,,上野川
stops,stop_name,en,Kami-nogawa,,,上野川
stops,stop_name,zh-CN,上野川,,,上野川
stops,stop_name,zh-TW,上野川,,,上野川
stops,stop_name,ko,가미노가와,,,上野川
stops,stop_name,ja-Hrkt,かみのがわ,,,上野川
stops,stop_name,ja,下作住宅前,,,下作住宅前
stops,stop_name,en,Shimosaku Jūtaku Mae,,,下作住宅前
stops,stop_name,zh-CN,下作住宅前,,,下作住宅前
stops,stop_name,zh-TW,下作住宅前,,,下作住宅前
stops,stop_name,ko,시모사쿠 주택 앞,,,下作住宅前
stops,stop_name,ja-Hrkt,しもさくじゅうたくまえ,,,下作住宅前
stops,stop_name,ja,下平間,,,下平間
stops,stop_name,en,Shimo-hirama,,,下平間
stops,stop_name,zh-CN,下平间,,,下平間
stops,stop_name,zh-TW,下平間,,,下平間
stops,stop_name,ko,시모히라마,,,下平間
stops,stop_name,ja-Hrkt,しもひらま,,,下平間
stops,stop_name,ja,下平間住宅前,,,下平間住宅前
stops,stop_name,en,Shimo-hirama Jūtaku Mae,,,下平間住宅前
stops,stop_name,zh-CN,下平间住宅前,,,下平間住宅前
stops,stop_name,zh-TW,下平間住宅前,,,下平間住宅前
stops,stop_name,ko,시모히라마 주택 앞,,,下平間住宅前
stops,stop_name,ja-Hrkt,しもひらまじゅうたくまえ,,,下平間住宅前
stops,stop_name,ja,下新城,,,下新城
stops,stop_name,en,Shimo-shinjō,,,下新城
stops,stop_name,zh-CN,下新城,,,下新城
stops,stop_name,zh-TW,下新城,,,下新城
stops,stop_name,ko,시모신조,,,下新城
stops,stop_name,ja-Hrkt,しもしんじょう,,,下新城
stops,stop_name,ja,下有馬,,,下有馬
stops,stop_name,en,Shimo-arima,,,下有馬
stops,stop_name,zh-CN,下有马,,,下有馬
stops,stop_name,zh-TW,下有馬,,,下有馬
stops,stop_name,ko,시모아리마,,,下有馬
stops,stop_name,ja-Hrkt,しもありま,,,下有馬
stops,stop_name,ja,下枠鼻,,,下枠鼻
stops,stop_name,en,Shimo-wakubana,,,下枠鼻
stops,stop_name,zh-CN,下框鼻,,,下枠鼻
stops,stop_name,zh-TW,下框鼻,,,下枠鼻
stops,stop_name,ko,시모와쿠바나,,,下枠鼻
stops,stop_name,ja-Hrkt,しもわくばな,,,下枠鼻
stops,stop_name,ja,下沼部,,,下沼部
stops,stop_name,en,Shimo-numabe,,,下沼部
stops,stop_name,zh-CN,下沼部,,,下沼部
stops,stop_name,zh-TW,下沼部,,,下沼部
stops,stop_name,ko,시모누마베,,,下沼部
stops,stop_name,ja-Hrkt,しもぬまべ,,,下沼部
stops,stop_name,ja,下綱,,,下綱
stops,stop_name,en,Sagezuna,,,下綱
stops,stop_name,zh-CN,下纲,,,下綱
stops,stop_name,zh-TW,下綱,,,下綱
stops,stop_name,ko,사게즈나,,,下綱
stops,stop_name,ja-Hrkt,さげづな,,,下綱
stops,stop_name,ja,下野毛,,,下野毛
stops,stop_name,en,Shimo-noge,,,下野毛
stops,stop_name,zh-CN,下野毛,,,下野毛
stops,stop_name,zh-TW,下野毛,,,下野毛
stops,stop_name,ko,시모노게,,,下野毛
stops,stop_name,ja-Hrkt,しものげ,,,下野毛
stops,stop_name,ja,中ノ原住宅前,,,中ノ原住宅前
stops,stop_name,en,Nakanohara Jūtaku Mae,,,中ノ原住宅前
stops,stop_name,zh-CN,中之原住宅前,,,中ノ原住宅前
stops,stop_name,zh-TW,中之原住宅前,,,中ノ原住宅前
stops,stop_name,ko,나카노하라 주택 앞,,,中ノ原住宅前
stops,stop_name,ja-Hrkt,なかのはらじゅうたくまえ,,,中ノ原住宅前
stops,stop_name,ja,中ノ町住宅前,,,中ノ町住宅前
stops,stop_name,en,Nakanochō Jūtaku Mae,,,中ノ町住宅前
stops,stop_name,zh-CN,中之町住宅前,,,中ノ町住宅前
stops,stop_name,zh-TW,中之町住宅前,,,中ノ町住宅前
stops,stop_name,ko,나카노초 주택 앞,,,中ノ町住宅前
stops,stop_name,ja-Hrkt,なかのちょうじゅうたくまえ,,,中ノ町住宅前
stops,stop_name,ja,中丸子,,,中丸子
stops,stop_name,en,Naka-maruko,,,中丸子
stops,stop_name,zh-CN,中丸子,,,中丸子
stops,stop_name,zh-TW,中丸子,,,中丸子
stops,stop_name,ko,나카마루코,,,中丸子
stops,stop_name,ja-Hrkt,なかまるこ,,,中丸子
stops,stop_name,ja,中丸子商店街,,,中丸子商店街
stops,stop_name,en,Naka-maruko Shōtengai,,,中丸子商店街
stops,stop_name,zh-CN,中丸子商店街,,,中丸子商店街
stops,stop_name,zh-TW,中丸子商店街,,,中丸子商店街
stops,stop_name,ko,나카마루코 상점가,,,中丸子商店街
stops,stop_name,ja-Hrkt,なかまるこしょうてんがい,,,中丸子商店街
stops,stop_name,ja,中丸子神社前,,,中丸子神社前
stops,stop_name,en,Naka-maruko Jinja Mae,,,中丸子神社前
stops,stop_name,zh-CN,中丸子神社前,,,中丸子神社前
stops,stop_name,zh-TW,中丸子神社前,,,中丸子神社前
stops,stop_name,ko,나카마루코 신사 앞,,,中丸子神社前
stops,stop_name,ja-Hrkt,なかまるこじんじゃまえ,,,中丸子神社前
stops,stop_name,ja,中丸子西町,,,中丸子西町
stops,stop_name,en,Naka-maruko-nishimachi,,,中丸子西町
stops,stop_name,zh-CN,中丸子西町,,,中丸子西町
stops,stop_name,zh-TW,中丸子西町,,,中丸子西町
stops,stop_name,ko,나카마루코 니시마치,,,中丸子西町
stops,stop_name,ja-Hrkt,なかまるこにしまち,,,中丸子西町
stops,stop_name,ja,中丸子西町（川７４）,,,中丸子西町（川７４）
stops,stop_name,ja-Hrkt,なかまるこにしまち,,,中丸子西町（川７４）
stops,stop_name,ja,中原,,,中原
stops,stop_name,en,Nakahara,,,中原
stops,stop_name,zh-CN,中原,,,中原
stops,stop_name,zh-TW,中原,,,中原
stops,stop_name,ko,나카하라,,,中原
stops,stop_name,ja-Hrkt,なかはら,,,中原
stops,stop_name,ja,中原会館,,,中原会館
stops,stop_name,en,Nakahara Kaikan,,,中原会館
stops,stop_name,zh-CN,中原会馆,,,中原会館
stops,stop_name,zh-TW,中原會館,,,中原会館
stops,stop_name,ko,나카하라 회관,,,中原会館
stops,stop_name,ja-Hrkt,なかはらかいかん,,,中原会館
stops,stop_name,ja,中原区役所前,,,中原区役所前
stops,stop_name,en,Nakahara Kuyakusho Mae,,,中原区役所前
stops,stop_name,zh-CN,中原区政府前,,,中原区役所前
stops,stop_name,zh-TW,中原區政府前,,,中原区役所前
stops,stop_name,ko,나카하라 구청 앞,,,中原区役所前
stops,stop_name,ja-Hrkt,なかはらくやくしょまえ,,,中原区役所前
stops,stop_name,ja,中原老人福祉センター入口,,,中原老人福祉センター入口
stops,stop_name,en,Nakahara Rōjin Fukushi Center Iriguchi,,,中原老人福祉センター入口
stops,stop_name,zh-CN,中原老人福祉中心入口,,,中原老人福祉センター入口
stops,stop_name,zh-TW,中原老人福祉中心入口,,,中原老人福祉センター入口
stops,stop_name,ko,나카하라 노인복지센터 입구,,,中原老人福祉センター入口
stops,stop_name,ja-Hrkt,なかはらろうじんふくしせんたーいりぐち,,,中原老人福祉センター入口
stops,stop_name,ja,中原駅入口,,,中原駅入口
stops,stop_name,en,Nakahara Eki Iriguchi,,,中原駅入口
stops,stop_name,zh-CN,中原站入口,,,中原駅入口
stops,stop_name,zh-TW,中原站入口,,,中原駅入口
stops,stop_name,ko,나카하라역 입구,,,中原駅入口
stops,stop_name,ja-Hrkt,なかはらえきいりぐち,,,中原駅入口
stops,stop_name,ja,中原駅前,,,中原駅前
stops,stop_name,en,Nakahara Sta.,,,中原駅前
stops,stop_name,zh-CN,中原站,,,中原駅前
stops,stop_name,zh-TW,中原站,,,中原駅前
stops,stop_name,ko,나카하라역 ,,,中原駅前
stops,stop_name,ja-Hrkt,なかはらえきまえ,,,中原駅前
stops,stop_name,ja,中央療育センター前,,,中央療育センター前
stops,stop_name,en,Chūō Ryōiku Center Mae,,,中央療育センター前
stops,stop_name,zh-CN,中央疗育中心前,,,中央療育センター前
stops,stop_name,zh-TW,中央療育中心前,,,中央療育センター前
stops,stop_name,ko,추오요육센터 앞,,,中央療育センター前
stops,stop_name,ja-Hrkt,ちゅうおうりょういくせんたーまえ,,,中央療育センター前
stops,stop_name,ja,中島二丁目,,,中島二丁目
stops,stop_name,en,Nakajima 2-chōme,,,中島二丁目
stops,stop_name,zh-CN,中岛二丁目,,,中島二丁目
stops,stop_name,zh-TW,中島二丁目,,,中島二丁目
stops,stop_name,ko,나카지마 2초메,,,中島二丁目
stops,stop_name,ja-Hrkt,なかじまにちょうめ,,,中島二丁目
stops,stop_name,ja,中島交番前,,,中島交番前
stops,stop_name,en,Nakajima Kōban Mae,,,中島交番前
stops,stop_name,zh-CN,中岛派出所前,,,中島交番前
stops,stop_name,zh-TW,中島派出所前,,,中島交番前
stops,stop_name,ko,나카지마 파출소 앞,,,中島交番前
stops,stop_name,ja-Hrkt,なかじまこうばんまえ,,,中島交番前
stops,stop_name,ja,中幸町,,,中幸町
stops,stop_name,en,Naka-saiwaichō,,,中幸町
stops,stop_name,zh-CN,中幸町,,,中幸町
stops,stop_name,zh-TW,中幸町,,,中幸町
stops,stop_name,ko,나카사이와이초,,,中幸町
stops,stop_name,ja-Hrkt,なかさいわいちょう,,,中幸町
stops,stop_name,ja,中幸町三丁目,,,中幸町三丁目
stops,stop_name,en,Naka-saiwaichō 3-chōme,,,中幸町三丁目
stops,stop_name,zh-CN,中幸町三丁目,,,中幸町三丁目
stops,stop_name,zh-TW,中幸町三丁目,,,中幸町三丁目
stops,stop_name,ko,나카사이와이초 3초메,,,中幸町三丁目
stops,stop_name,ja-Hrkt,なかさいわいちょうさんちょうめ,,,中幸町三丁目
stops,stop_name,ja,中新城,,,中新城
stops,stop_name,en,Naka-shinjō,,,中新城
stops,stop_name,zh-CN,中新城,,,中新城
stops,stop_name,zh-TW,中新城,,,中新城
stops,stop_name,ko,나카신조,,,中新城
stops,stop_name,ja-Hrkt,なかしんじょう,,,中新城
stops,stop_name,ja,中有馬,,,中有馬
stops,stop_name,en,Naka-arima,,,中有馬
stops,stop_name,zh-CN,中有马,,,中有馬
stops,stop_name,zh-TW,中有馬,,,中有馬
stops,stop_name,ko,나카아리마,,,中有馬
stops,stop_name,ja-Hrkt,なかありま,,,中有馬
stops,stop_name,ja,中河原公園前,,,中河原公園前
stops,stop_name,en,Nakagawara Kōen Mae,,,中河原公園前
stops,stop_name,zh-CN,中河原公园前,,,中河原公園前
stops,stop_name,zh-TW,中河原公園前,,,中河原公園前
stops,stop_name,ko,나카가와라 공원 앞,,,中河原公園前
stops,stop_name,ja-Hrkt,なかがわらこうえんまえ,,,中河原公園前
stops,stop_name,ja,中町,,,中町
stops,stop_name,en,Nakamachi,,,中町
stops,stop_name,zh-CN,中町,,,中町
stops,stop_name,zh-TW,中町,,,中町
stops,stop_name,ko,나카마치,,,中町
stops,stop_name,ja-Hrkt,なかまち,,,中町
stops,stop_name,ja,中野島公社住宅前,,,中野島公社住宅前
stops,stop_name,en,Nakanoshima Kōsha-jūtaku Mae,,,中野島公社住宅前
stops,stop_name,zh-CN,中野岛公社住宅前,,,中野島公社住宅前
stops,stop_name,zh-TW,中野島公社住宅前,,,中野島公社住宅前
stops,stop_name,ko,나카노시마 공사주택 앞,,,中野島公社住宅前
stops,stop_name,ja-Hrkt,なかのしまこうしゃじゅうたくまえ,,,中野島公社住宅前
stops,stop_name,ja,中野島多摩川住宅,,,中野島多摩川住宅
stops,stop_name,en,Nakanoshima Tamagawa-jūtaku,,,中野島多摩川住宅
stops,stop_name,zh-CN,中野岛多摩川住宅,,,中野島多摩川住宅
stops,stop_name,zh-TW,中野島多摩川住宅,,,中野島多摩川住宅
stops,stop_name,ko,나카노시마 다마가와 주택,,,中野島多摩川住宅
stops,stop_name,ja-Hrkt,なかのしまたまがわじゅうたく,,,中野島多摩川住宅
stops,stop_name,ja,丸子橋,,,丸子橋
stops,stop_name,en,marukobashi,,,丸子橋
stops,stop_name,zh-CN,丸子桥,,,丸子橋
