table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,route_short_name,ko,041계통,,,041系統
routes,route_short_name,zh,041系统,,,041系統
routes,route_short_name,en,Route 045,,,045系統
routes,route_short_name,ja,045系統,,,045系統
routes,route_short_name,ja-Hrkt,045ケイトウ,,,045系統
routes,route_short_name,ko,045계통,,,045系統
routes,route_short_name,zh,045系统,,,045系統
routes,route_short_name,en,Route 048,,,048系統
routes,route_short_name,ja,048系統,,,048系統
routes,route_short_name,ja-Hrkt,048ケイトウ,,,048系統
routes,route_short_name,ko,048계통,,,048系統
routes,route_short_name,zh,048系统,,,048系統
routes,route_short_name,en,Route 050,,,050系統
routes,route_short_name,ja,050系統,,,050系統
routes,route_short_name,ja-Hrkt,050ケイトウ,,,050系統
routes,route_short_name,ko,050계통,,,050系統
routes,route_short_name,zh,050系统,,,050系統
routes,route_short_name,en,Route 051,,,051系統
routes,route_short_name,ja,051系統,,,051系統
routes,route_short_name,ja-Hrkt,051ケイトウ,,,051系統
routes,route_short_name,ko,051계통,,,051系統
routes,route_short_name,zh,051系统,,,051系統
routes,route_short_name,en,Route 052,,,052系統
routes,route_short_name,ja,052系統,,,052系統
routes,route_short_name,ja-Hrkt,052ケイトウ,,,052系統
routes,route_short_name,ko,052계통,,,052系統
routes,route_short_name,zh,052系统,,,052系統
routes,route_short_name,en,Route 053,,,053系統
routes,route_short_name,ja,053系統,,,053系統
routes,route_short_name,ja-Hrkt,053ケイトウ,,,053系統
routes,route_short_name,ko,053계통,,,053系統
routes,route_short_name,zh,053系统,,,053系統
routes,route_short_name,en,Route 054,,,054系統
routes,route_short_name,ja,054系統,,,054系統
routes,route_short_name,ja-Hrkt,054ケイトウ,,,054系統
routes,route_short_name,ko,054계통,,,054系統
routes,route_short_name,zh,054系统,,,054系統
routes,route_short_name,en,Route 055,,,055系統
routes,route_short_name,ja,055系統,,,055系統
routes,route_short_name,ja-Hrkt,055ケイトウ,,,055系統
routes,route_short_name,ko,055계통,,,055系統
routes,route_short_name,zh,055系统,,,055系統
routes,route_short_name,en,Route 056,,,056系統
routes,route_short_name,ja,056系統,,,056系統
routes,route_short_name,ja-Hrkt,056ケイトウ,,,056系統
routes,route_short_name,ko,056계통,,,056系統
routes,route_short_name,zh,056系统,,,056系統
routes,route_short_name,en,Route 058,,,058系統
routes,route_short_name,ja,058系統,,,058系統
routes,route_short_name,ja-Hrkt,058ケイトウ,,,058系統
routes,route_short_name,ko,058계통,,,058系統
routes,route_short_name,zh,058系统,,,058系統
routes,route_short_name,en,Route 059,,,059系統
routes,route_short_name,ja,059系統,,,059系統
routes,route_short_name,ja-Hrkt,059ケイトウ,,,059系統
routes,route_short_name,ko,059계통,,,059系統
routes,route_short_name,zh,059系统,,,059系統
routes,route_short_name,en,Route 061,,,061系統
routes,route_short_name,ja,061系統,,,061系統
routes,route_short_name,ja-Hrkt,061ケイトウ,,,061系統
routes,route_short_name,ko,061계통,,,061系統
routes,route_short_name,zh,061系统,,,061系統
routes,route_short_name,en,Route 064,,,064系統
routes,route_short_name,ja,064系統,,,064系統
routes,route_short_name,ja-Hrkt,064ケイトウ,,,064系統
routes,route_short_name,ko,064계통,,,064系統
routes,route_short_name,zh,064系统,,,064系統
routes,route_short_name,en,Route 065,,,065系統
routes,route_short_name,ja,065系統,,,065系統
routes,route_short_name,ja-Hrkt,065ケイトウ,,,065系統
routes,route_short_name,ko,065계통,,,065系統
routes,route_short_name,zh,065系统,,,065系統
routes,route_short_name,en,Route 066,,,066系統
routes,route_short_name,ja,066系統,,,066系統
routes,route_short_name,ja-Hrkt,066ケイトウ,,,066系統
routes,route_short_name,ko,066계통,,,066系統
routes,route_short_name,zh,066系统,,,066系統
routes,route_short_name,en,Route 067,,,067系統
routes,route_short_name,ja,067系統,,,067系統
routes,route_short_name,ja-Hrkt,067ケイトウ,,,067系統
routes,route_short_name,ko,067계통,,,067系統
routes,route_short_name,zh,067系统,,,067系統
routes,route_short_name,en,Route 068,,,068系統
routes,route_short_name,ja,068系統,,,068系統
routes,route_short_name,ja-Hrkt,068ケイトウ,,,068系統
routes,route_short_name,ko,068계통,,,068系統
routes,route_short_name,zh,068系统,,,068系統
routes,route_short_name,en,Route 070,,,070系統
routes,route_short_name,ja,070系統,,,070系統
routes,route_short_name,ja-Hrkt,070ケイトウ,,,070系統
routes,route_short_name,ko,070계통,,,070系統
routes,route_short_name,zh,070系统,,,070系統
routes,route_short_name,en,Route 073,,,073系統
routes,route_short_name,ja,073系統,,,073系統
routes,route_short_name,ja-Hrkt,073ケイトウ,,,073系統
routes,route_short_name,ko,073계통,,,073系統
routes,route_short_name,zh,073系统,,,073系統
routes,route_short_name,en,Route 074,,,074系統
routes,route_short_name,ja,074系統,,,074系統
routes,route_short_name,ja-Hrkt,074ケイトウ,,,074系統
routes,route_short_name,ko,074계통,,,074系統
routes,route_short_name,zh,074系统,,,074系統
routes,route_short_name,en,Route 076,,,076系統
routes,route_short_name,ja,076系統,,,076系統
routes,route_short_name,ja-Hrkt,076ケイトウ,,,076系統
routes,route_short_name,ko,076계통,,,076系統
routes,route_short_name,zh,076系统,,,076系統
routes,route_short_name,en,Route 078,,,078系統
routes,route_short_name,ja,078系統,,,078系統
routes,route_short_name,ja-Hrkt,078ケイトウ,,,078系統
routes,route_short_name,ko,078계통,,,078系統
routes,route_short_name,zh,078系统,,,078系統
routes,route_short_name,en,Route 079,,,079系統
routes,route_short_name,ja,079系統,,,079系統
routes,route_short_name,ja-Hrkt,079ケイトウ,,,079系統
routes,route_short_name,ko,079계통,,,079系統
routes,route_short_name,zh,079系统,,,079系統
routes,route_short_name,en,Route 080,,,080系統
routes,route_short_name,ja,080系統,,,080系統
routes,route_short_name,ja-Hrkt,080ケイトウ,,,080系統
routes,route_short_name,ko,080계통,,,080系統
routes,route_short_name,zh,080系统,,,080系統
routes,route_short_name,en,Route 082,,,082系統
routes,route_short_name,ja,082系統,,,082系統
routes,route_short_name,ja-Hrkt,082ケイトウ,,,082系統
routes,route_short_name,ko,082계통,,,082系統
routes,route_short_name,zh,082系统,,,082系統
routes,route_short_name,en,Route 084,,,084系統
routes,route_short_name,ja,084系統,,,084系統
routes,route_short_name,ja-Hrkt,084ケイトウ,,,084系統
routes,route_short_name,ko,084계통,,,084系統
routes,route_short_name,zh,084系统,,,084系統
routes,route_short_name,en,Route 085,,,085系統
routes,route_short_name,ja,085系統,,,085系統
routes,route_short_name,ja-Hrkt,085ケイトウ,,,085系統
routes,route_short_name,ko,085계통,,,085系統
routes,route_short_name,zh,085系统,,,085系統
routes,route_short_name,en,Route 086,,,086系統
routes,route_short_name,ja,086系統,,,086系統
routes,route_short_name,ja-Hrkt,086ケイトウ,,,086系統
routes,route_short_name,ko,086계통,,,086系統
routes,route_short_name,zh,086系统,,,086系統
routes,route_short_name,en,Route 087,,,087系統
routes,route_short_name,ja,087系統,,,087系統
routes,route_short_name,ja-Hrkt,087ケイトウ,,,087系統
routes,route_short_name,ko,087계통,,,087系統
routes,route_short_name,zh,087系统,,,087系統
routes,route_short_name,en,Route 088,,,088系統
routes,route_short_name,ja,088系統,,,088系統
routes,route_short_name,ja-Hrkt,088ケイトウ,,,088系統
routes,route_short_name,ko,088계통,,,088系統
routes,route_short_name,zh,088系统,,,088系統
routes,route_short_name,en,Route 090,,,090系統
routes,route_short_name,ja,090系統,,,090系統
routes,route_short_name,ja-Hrkt,090ケイトウ,,,090系統
routes,route_short_name,ko,090계통,,,090系統
routes,route_short_name,zh,090系统,,,090系統
